sample_name	name	value
R141		
R142		
R143		
R144		
R146		
R147		
R156		
R157		
R159	PAX8-PPARG.P8P2.COSF1215	22.0
R160		
R162	PAX8-PPARG.P8P2.COSF1215	36.0
R162	PAX8-PPARG.P9P2.COSF1217	96.0
R162	PAX8-PPARG.P7P2.COSF1223	18.0
R163		
R164		
R165		
R166		
R167		
R168		
R170		
R171		
R172		
R173		
R174		
R175		
R176		
R177		
R179		
R181		
R187		
R188		
R191		
R192		
R193		
R194		
R195		
R196	TPM3-NTRK1.T7N10.COSF1329	118.0
R197		
R198	CCDC6-RET.C1R12.COSF1271	1144.0
R199		
R202		
R203		
R204		
R205		
R209		
R210		
R211		
R213		
R214		
R215		
R216		
R217		
R220		
R224		
R225		
R228		
R229		
R230		
R231		
R232		
R233		
R234		
R235		
R236		
R237		
R240		
R241		
R242		
R243		
R244		
R245		
R246		
R247		
R248		
R250		
R251	CCDC6-RET.C1R12.COSF1271	1350.0
R252		
R254		
R255		
R256		
R258		
R260		
R261	CCDC6-RET.C1R12.COSF1271	8453.0
R262		
R263		
R264		
R265		
R266		
R267		
R269		
R273		
R275		
R276		
R277		
R77		
